title,lowestAsk,lowestAskSize,numberOfAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,salesLast72Hours,changeValue,changePercentage,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,missingData
Jordan 11 Retro Platinum Tint,160,10.5,395,113,None,250,7.5,187,500,143,202,234,0.075494,4092,-0.009,204,218,113,32,0.172043,834389,73,75,29,False
Jordan 1 Retro High Pine Green,177,14,846,103,None,380,7,433,500,130,140,250,0.28306,18482,0.219,260,195,103,-122,-0.384858,4806293,8,91,36,False
Jordan 13 Retro Low Clot Sepia Stone,274,13,208,102,None,478,7.5,707,600,228,278,396,0.173747,2025,0.685,335,337,102,-3,-0.008824,678996,81,87,32,False
Nike PG 2.5 Playstation White,175,10,143,98,None,200,7.5,228,450,150,155,185,0.086564,328,0.545,190,170,98,-5,-0.028571,62202,97,85,48,False
Jordan 1 Mid Alternate Think 16,99,12,96,94,None,177,7,151,200,82,83,133,0.227605,418,-0.018,146,108,94,-54,-0.333333,61211,70,9,92,False
Jordan 13 Retro Carmelo Anthony Class Of 2002 (B-Grade),112,12.5,311,92,None,127,16,119,230,95,117,123,0.027665,2649,-0.368,134,120,92,2,0.016949,356112,38,19,67,False
Nike SB Dunk Low Doernbecher (2018),145,4,187,87,None,220,8.5,351,350,105,215,255,0.084525,1142,1.611,191,235,87,75,0.46875,217597,1,76,59,False
Jordan 11 Retro Concord 2018 (GS),159,4.5Y,359,85,None,180,6.5Y,94,248,125,175,207,0.085723,2569,0.124,187,191,85,11,0.061111,481213,6,83,70,False
Jordan 3 Retro Mocha (2018),150,9.5,268,84,None,245,16,247,339,130,138,162,0.08016,1182,-0.211,185,150,84,4,0.027397,218931,38,70,90,False
Jordan 1 Retro High Aleali May Court Luxe (W),175,8.5W,602,82,None,230,12W,172,499,165,177,203,0.070388,1278,0.188,219,190,82,-41,-0.177489,280174,74,16,80,False
adidas EQT Support Mid ADV Primeknit Dragon Ball Z Super Shenron,215,9.5,112,81,None,365,13,139,495,200,186,242,0.129807,559,0,268,214,81,-101,-0.320635,150087,20,50,36,False
Vans Old Skool Yacht Club,68,7,470,80,None,87,12.5,61,300,39,65,71,0.044977,6639,0.046,91,68,80,-5,-0.068493,605299,53,49,92,False
Air Force 1 Low White '07,78,10,119,73,None,110,6.5,97,245,40,73,91,0.113471,3094,-0.089,83,82,73,-19,-0.188119,255989,86,95,93,False
Nike SB Dunk Low Concepts Green Lobster (Special Box),398,6.5,295,69,None,555,13,438,2301,275,327,413,0.117414,682,2.7,557,370,69,-124,-0.252168,379740,35,52,37,False
Jordan 1 Mid Deep Royal Blue Black,122,11,87,68,None,147,7.5,126,198,85,138,157,0.064626,263,0.225,140,147,68,1,0.006849,36837,20,59,99,False
Jordan 13 Retro Low Clot Black Red,325,10.5,146,65,None,425,8,384,500,253,255,355,0.163247,478,0.525,327,305,65,-14,-0.043887,156206,80,6,93,False
Jordan 12 Retro Chinese New Year (2019),233,9,57,64,None,235,12,72,300,225,231,241,0.021707,167,-0.056,237,236,64,2,0.008547,39530,30,91,49,False
Jordan 12 Retro Winter Black,205,11,153,62,None,225,8,188,350,155,198,232,0.081114,1639,0.075,212,215,62,1,0.004673,347981,96,40,2,False
Jordan 1 Retro High Spider-Man Origin Story (PS),83,2.5,164,61,None,145,10.5,69,145,73,84,92,0.049279,817,0.257,90,88,61,2,0.023256,73600,15,45,99,False
Jordan 1 Mid White Black,97,13,85,61,None,185,7,199,294,70,113,151,0.146905,2438,0.2,126,132,61,21,0.189189,307957,1,99,10,False
Nike PG 2.5 Playstation Multi-Color,134,9,256,61,None,180,12.5,148,350,120,124,144,0.072618,798,0.218,155,134,61,-10,-0.069444,123824,83,48,57,False
Jordan 12 Retro Gym Red (2018),186,10,202,61,None,225,15,185,350,130,192,208,0.04155,3496,0.053,192,200,61,10,0.052632,672508,64,100,90,False
Kyrie 5 Taco PE,115,11.5,145,60,None,180,7,135,500,103,111,123,0.053357,1515,-0.1,159,117,60,2,0.017391,240550,11,69,14,False
Jordan 1 Mid Pine Green,110,11.5,145,55,None,160,7,170,225,80,150,178,0.085548,418,0.491,141,164,55,15,0.100671,58754,67,25,2,False
Jordan 8 Retro Tinker Air Raid,145,13,148,55,None,175,12.5,113,250,120,132,162,0.101566,968,-0.226,170,147,55,-17,-0.103659,164532,41,70,62,False
LeBron 16 Superman SuperBron,175,11,412,53,None,251,12.5,116,400,162,163,197,0.092938,589,-0.1,229,180,53,-25,-0.121951,134605,82,36,28,False
Revenge X Storm Low Top Black,198,10,60,53,None,302,6.5,96,550,145,222,258,0.074898,2269,0.2,226,240,53,43,0.218274,513719,32,11,99,False
Jordan 4 Retro Tattoo (2018),207,8.5,303,53,None,241,7,132,400,178,189,217,0.066722,737,-0.098,253,203,53,0,0,186499,37,28,64,False
Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY Black,128,3,127,52,None,200,14,68,250,100,77,123,0.233656,1728,-0.2,153,100,52,0,0,265220,25,65,16,False
Nike SB Dunk Low Diamond Supply Co Black Diamond,139,6,307,50,None,169,9.5,287,600,125,164,176,0.03747,3678,0.7,183,170,50,5,0.030303,673032,60,25,20,False
Jordan 1 Mid Gym Red Black,89,13,69,49,None,174,8,136,245,66,69,121,0.272873,3182,-0.136,122,95,49,-64,-0.402516,388688,13,83,31,False
adidas Ultra Boost 4.0 Triple Black Nubuck Cage,165,8,201,48,None,180,6,109,265,125,171,187,0.044741,1045,-0.006,173,179,48,21,0.132911,181240,53,43,67,False
adidas NMD Hu Pharrell Inspiration Pack White,205,9.5,191,48,None,250,12,89,683,150,181,219,0.093415,1897,-0.2,237,200,48,3,0.015228,448657,68,63,29,False
Jordan 6 Retro Tinker,131,11,133,46,None,160,8.5,121,269,82,124,136,0.046456,1584,-0.316,160,130,46,-10,-0.071429,253743,23,99,24,False
adidas EQT Support Mid ADV Primeknit Dragon Ball Z Shenron,165,5,185,45,None,250,12,184,441,150,221,249,0.05889,670,0,250,235,45,0,0,167624,78,19,28,False
Jordan 1 Retro High Spider-Man Origin Story (TD),64,4,114,43,None,66,6,61,125,50,66,74,0.055037,740,0.4,67,70,43,6,0.09375,49799,55,40,2,False
Jordan 1 Retro High Court Purple,209,14,499,43,None,442,7.5,430,2000,181,300,440,0.190226,10830,1.313,329,370,43,109,0.417625,3559853,38,50,33,False
Jordan 11 Retro Cap and Gown,300,10.5,288,43,None,432,15,229,851,247,248,344,0.163079,11020,0.184,322,296,43,-164,-0.356522,3549986,93,11,86,False
Air Presto Mid Acronym Cool Grey,96,4,350,42,None,200,9,131,620,70,186,216,0.074418,3936,0.005,223,201,42,2,0.01005,875837,36,46,11,False
Nike Blazer Mid Off-White Grim Reaper,390,6,383,42,None,636,13,345,1500,335,506,594,0.080783,5343,3.231,531,550,42,50,0.1,2836086,55,3,99,False
Jordan 1 Mid White Plaid (GS),88,7Y,62,40,None,141,5Y,108,160,78,114,146,0.126415,1378,0.444,118,130,40,9,0.07438,162214,64,89,58,False
Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY White,135,11,134,40,None,180,10.5,73,265,90,137,163,0.086258,1658,0.2,144,150,40,43,0.401869,238585,93,38,73,False
adidas Ultra Boost OG (2018),160,7.5,210,40,None,200,6,142,280,110,163,185,0.064148,1851,-0.033,191,174,40,-1,-0.005714,352686,61,11,76,False
Air Presto Mid Acronym Dynamic Yellow,120,4,417,39,None,195,9,127,730,95,147,193,0.134336,3867,-0.15,220,170,39,4,0.023688,851684,92,66,81,False
Converse Chuck Taylor All-Star 70s Hi Fear of God Cream,132,11,160,39,None,177,8.5,162,350,105,135,195,0.182196,1074,0,153,165,39,0,-0.000186,164721,16,57,92,False
adidas NMD Hu Pharrell Inspiration Pack Powder Blue,172,8.5,183,39,None,200,13,90,450,150,163,193,0.082139,1070,-0.288,201,178,39,3,0.015508,215195,7,63,81,False
Jordan 19 Retro White Flint Grey,175,11,95,39,None,227,13,105,299,161,157,195,0.106848,156,-0.218,212,176,39,6,0.035294,33030,20,46,64,False
Air Force 1 Low Utility Black White,129,13,67,38,None,145,8.5,96,200,71,63,99,0.22092,838,-0.19,120,81,38,-64,-0.441379,100888,78,2,90,False
Air VaporMax Plus Olympic,190,9.5,68,38,None,225,15,109,265,165,170,190,0.057271,75,-0.053,202,180,38,-28,-0.134615,15140,49,25,82,False
adidas NMD Hu Pharrell Inspiration Pack Black,208,8.5,195,37,None,225,13,114,450,150,232,268,0.070194,2057,0,224,250,37,60,0.315789,459929,90,67,74,False
Jordan 5 Retro Paris Saint-Germain,234,11,281,37,None,251,8,125,525,150,218,252,0.071644,3237,0.044,252,235,37,-6,-0.024896,816265,76,71,77,False
Jordan 1 Mid Top 3 (GS),99,7Y,93,35,None,111,5Y,46,180,89,81,97,0.088645,183,-0.011,110,89,35,-18,-0.168224,20177,41,10,98,False
Air Force 1 Low Off-White Volt (TD),135,6,126,35,None,170,4,122,300,88,128,170,0.139861,555,1.292,151,149,35,29,0.241667,83794,40,75,27,False
Air Force 1 Low A Cold Wall White,240,8.5,199,35,None,235,11,145,850,206,222,248,0.055928,535,0.237,273,235,35,-5,-0.020833,146141,32,62,97,False
Nike Blazer Mid Off-White All Hallow's Eve,509,6,367,35,None,610,8,356,1500,410,529,577,0.04333,5025,3.254,610,553,35,-15,-0.026408,3064535,69,81,38,False
Jordan 3 Retro Hall of Fame,205,10,225,34,None,300,16,152,400,120,211,237,0.058756,6551,0.179,208,224,34,24,0.12,1365694,0,41,39,False
LeBron 16 HFR (W),300,8W,50,34,None,440,12W,62,750,207,249,355,0.176879,630,0.208,355,302,34,1,0.003322,223408,62,1,51,False
Jordan 1 Mid Top 3,109,15,89,33,None,175,8,104,286,100,139,171,0.10461,123,0.409,170,155,33,-5,-0.03125,20949,80,29,56,False
Air Force 1 Low Utility White Black,110,13,59,33,None,190,6.5,82,199,70,121,176,0.185074,1080,0.489,123,149,33,-36,-0.195205,132875,29,84,81,False
Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY Black,128,3,154,32,None,150,13,57,220,99,84,116,0.158097,1044,-0.167,141,100,32,0,0,147690,67,22,64,False
Jordan 5 Retro Satin Bred,145,10.5,135,32,None,146,11,121,400,115,147,163,0.050831,2004,-0.184,173,155,32,5,0.033333,347284,71,15,54,False
adidas NMD Hu Pharrell Inspiration Pack Clear Sky,192,10,208,32,None,260,6,90,900,165,189,225,0.088665,1685,-0.172,237,207,32,-38,-0.155102,398882,35,34,81,False
Air Presto Mid Acronym Racer Pink,198,4,366,32,None,250,9,163,679,150,231,265,0.070352,5922,0.24,286,248,32,8,0.033333,1694528,86,2,38,False
Nike React Element 87 Thunder Blue/Total Orange,130,4.5,265,31,None,177,12.5,109,250,100,153,177,0.075371,2063,0.031,175,165,31,20,0.137931,360298,53,83,69,False
Nike React Runner Mid WR ISPA Black,139,7.5,137,31,None,150,10,53,274,119,147,181,0.105868,281,-0.089,188,164,31,45,0.378151,52918,87,73,59,False
adidas Kamanda Dragon Ball Z Majin Buu,140,6,188,31,None,250,15,85,300,135,155,205,0.138854,1114,0.2,186,180,31,20,0.125,207205,45,29,12,False
Air VaporMax Moc 2 Black Light Cream,155,4,58,30,None,190,14,44,300,100,166,182,0.044853,293,-0.13,180,174,30,19,0.122581,52840,47,28,79,False
Revenge X Storm Low Top Red,210,7,55,29,None,246,13,63,500,120,201,259,0.126455,1546,0.15,234,230,29,10,0.045455,361097,39,3,82,False
adidas NMD Hu Pharrell x Billionaire Boys Club Multi-Color,241,9,248,29,None,275,4.5,114,800,155,232,294,0.119763,3605,0.052,265,263,29,47,0.215066,954656,95,54,22,False
Air Force 1 Low Supreme x Comme des Garcons (2018),288,13,331,29,None,450,6.5,280,600,248,294,326,0.050436,3457,0.879,297,310,29,25,0.087719,1026698,90,17,16,False
Crocs Dimitri Clog Post Malone Barbed Wire,105,8,124,28,None,180,5.5,128,280,80,152,198,0.130514,1108,1.917,129,175,28,45,0.346154,142422,74,16,32,False
Air Force 1 Low Off-White Black White (TD),120,5,123,28,None,151,3,114,250,105,102,128,0.115634,529,0.769,147,115,28,-13,-0.101563,77601,57,96,11,False
Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY White,128,10,103,28,None,160,9.5,57,220,90,120,130,0.043813,1152,0.042,141,125,28,-6,-0.045802,162230,0,91,44,False
Jordan 10 Retro Orlando,139,10,155,28,None,145,15,137,270,115,140,144,0.016221,1327,-0.253,152,142,28,1,0.007092,201719,50,8,47,False
Air VaporMax Plus Triple Black,185,10,115,28,None,180,5.5,82,335,120,165,207,0.110425,2201,-0.021,217,186,28,-34,-0.154545,476951,24,13,84,False
Nike SB Dunk Low Black Pigeon,185,6,84,28,None,390,14,271,480,96,336,448,0.142241,1068,2.564,192,392,28,112,0.398371,204646,73,11,12,False
Jordan 4 Retro White Cement (2016),290,14,191,28,None,350,12.5,193,450,125,331,351,0.028529,2711,0.55,308,341,28,6,0.01791,835367,76,68,64,False
Jordan Legacy 312 Tech Challenge 2 Hot Lava,115,12,60,27,None,214,8.5,103,620,80,114,156,0.157265,884,-0.156,171,135,27,-10,-0.068966,150832,45,75,55,False
Nike React Element 87 Blue Chill Solar Red,159,4.5,188,27,None,205,15,161,300,100,175,187,0.033819,2974,0.131,192,181,27,-16,-0.082005,572217,43,11,64,False
adidas Ultra Tech Dragon Ball Z Vegeta,174,7.5,198,27,None,260,14,122,496,156,207,263,0.119244,1325,0.469,225,235,27,-39,-0.142336,297900,60,50,54,False
Jordan 11 Retro 72-10,250,11,329,27,None,325,7.5,187,470,200,281,341,0.09543,3090,0.414,276,311,27,51,0.196154,852110,84,30,33,False
Air Max 97 Off-White Menta,662,5,185,27,None,939,12.5,201,1600,585,648,822,0.11862,1080,2.868,769,735,27,-264,-0.264264,830890,14,3,17,False
adidas Ultra Boost 1.0 Multi-Color Toe White,120,8,137,26,None,147,14,64,325,96,96,154,0.230694,916,-0.375,143,125,26,5,0.039459,131048,7,60,83,False
adidas Ultra Boost 4.0 Core Black,120,8.5,111,26,None,127,11,53,250,75,117,133,0.061362,3532,-0.306,139,125,26,-8,-0.06015,490683,4,43,92,False
adidas Ultra Boost 4.0 Non Dye Cloud White,125,10,90,26,None,126,10,48,200,93,117,153,0.136981,209,-0.25,142,135,26,-8,-0.055944,29773,42,91,41,False
Jordan 12 Retro Winter Black (GS),138,4Y,54,26,None,152,7Y,35,213,100,154,184,0.090336,544,0.207,162,169,26,34,0.251852,88251,81,61,91,False
Nike React Element 87 Volt Racer Pink,175,10,11,26,None,185,8.5,48,200,160,172,188,0.046744,34,0.125,178,180,26,1,0.001058,6062,75,27,56,False
Jordan 15 Retro Doernbecher (2018),203,12.5,378,26,None,218,9,97,425,186,208,232,0.055948,725,0.158,237,220,26,0,0,171781,0,98,30,False
Air Fear Of God 1 SA Black,490,11,204,26,None,520,9,193,1550,445,436,474,0.040893,448,0.517,584,455,26,-35,-0.071429,261849,48,26,99,False
Jordan 3 Retro Chlorophyll,120,10.5,153,25,None,125,16,112,260,100,99,131,0.143428,1531,-0.395,145,115,25,-14,-0.108952,222693,11,54,49,False
Air Max 97 Silver White,125,9.5,123,25,None,150,15,68,250,91,130,148,0.064481,586,-0.228,141,139,25,9,0.069231,82747,37,11,35,False
adidas Deerupt Dragon Ball Z Son Gohan,126,5,139,25,None,250,12,95,399,101,134,210,0.221532,1588,0.72,194,172,25,32,0.228571,308114,21,35,55,False
Nike Blazer Mid LA vs. NYC,140,12,58,25,None,147,8,60,275,98,127,169,0.139197,468,0.233,142,148,25,-12,-0.075,66572,90,83,21,False
adidas Crazy BYW X Pharrell Gratitude and Empathy,169,10,160,25,None,170,13,61,370,140,134,166,0.104362,198,-0.4,197,150,25,-20,-0.117647,39080,94,18,8,False
Air Max 1 Parra (2018),270,4,199,25,None,460,13,253,975,None,253,389,0.212213,3350,1.139,366,321,25,-18,-0.053528,1227167,15,27,42,False
Jordan 1 Retro High Paris Saint Germain,148,12,268,24,None,155,13,115,500,115,147,172,0.079384,1330,-0.003,176,159,24,44,0.37476,234361,34,55,92,False
Nike SB Dunk Low Diamond Supply Co White Diamond,185,11.5,147,24,None,225,15,233,800,150,195,235,0.091291,1846,1.15,219,215,24,0,0,404623,11,87,66,False
Nike Zoom Fly Mercurial Off-White Total Orange,230,9,136,24,None,255,10.5,63,1500,200,220,230,0.023888,2426,0.125,291,225,24,15,0.071429,705058,20,29,78,False
Air Fear Of God 1 Light Bone,837,12.5,116,24,None,1001,9.5,290,4000,800,922,1050,0.065195,381,1.496,1184,986,24,-16,-0.015968,451206,97,53,26,False
Air Foamposite Pro Sequoia,130,9,90,23,None,176,14,68,266,80,121,149,0.106545,905,-0.413,164,135,23,-10,-0.068966,148631,46,85,82,False
adidas Ultra Boost 4.0 Black White Speckle,133,9,52,23,None,130,11.5,32,180,85,128,152,0.088079,198,-0.222,127,140,23,5,0.037037,25203,46,35,75,False
Vans Old Skool NASA Space Voyager True White,158,8,168,23,None,185,12,108,300,85,174,206,0.086799,3642,1.235,147,190,23,-4,-0.024132,537161,34,29,66,False
adidas Prophere Dragon Ball Z Cell,167,7.5,103,23,None,450,13,105,475,150,148,218,0.192823,1102,0.22,229,183,23,-82,-0.309434,251925,13,93,41,False
Jordan 5 Retro Black Metallic (2016),179,16,178,23,None,250,11.5,89,375,140,228,252,0.048565,1922,0.091,242,240,23,8,0.034483,466035,61,79,4,False
Air Force 1 Low Carhartt WIP Ale Brown,106,8.5,120,22,None,140,11.5,72,220,71,91,123,0.149703,566,-0.177,131,107,22,-20,-0.15748,74053,32,84,88,False
Jordan 10 Retro Russell Westbrook Class of 2006,119,12,91,22,None,135,9,68,250,95,105,125,0.089042,822,-0.395,160,115,22,4,0.036036,131809,38,63,21,False
adidas NMD R1 Core Black Lush Red,139,13,71,22,None,160,6.5,75,230,76,162,178,0.048216,1620,0.133,124,170,22,25,0.172414,201275,74,72,13,False
Off-White Vulc Low Black (Updated Stripes),239,40,67,22,None,302,44,45,350,151,204,284,0.163756,616,0,256,244,22,-59,-0.196048,157678,61,18,94,False
Jordan 11 Retro Platinum Tint (GS),115,7Y,80,21,None,120,5Y,58,250,101,116,124,0.031611,381,-0.294,157,120,21,6,0.052632,59985,27,64,20,False
Nike Cortez Basic Slip Kendrick Lamar White,119,12,146,21,None,159,12.5,91,350,69,113,147,0.127324,4037,0.3,126,130,21,-10,-0.071429,509134,92,91,33,False
adidas Ultra Boost 4.0 Orca,150,11.5,39,21,None,170,12,60,290,120,139,159,0.065376,489,-0.172,155,149,21,14,0.103704,75898,33,90,32,False
Nike Zoom Vomero 5 A Cold Wall Sail,160,11.5,69,21,None,191,6,87,600,125,139,181,0.128329,281,-0.2,211,160,21,1,0.003728,59315,89,50,43,False
adidas Ultra Boost 1.0 Cream White,185,8,175,21,None,220,10.5,162,399,130,198,232,0.077577,2774,0.075,198,215,21,0,0,549040,70,81,11,False
Jordan 11 Retro Cleat Concord,60,8,115,20,None,125,7,18,400,50,46,74,0.234171,316,-0.52,135,60,20,0,0,42804,7,19,92,False
Air Max 95 OG Solar Red (2018),95,6.5,111,20,None,130,14,87,325,75,98,116,0.083341,1443,-0.331,136,107,20,7,0.07,196467,68,64,89,False
Jordan 1 Retro High Flyknit Shadow,95,10,29,20,None,100,11.5,39,225,62,128,166,0.129836,509,-0.183,123,147,20,53,0.558995,62362,100,91,80,False
Air More Uptempo Flax,99,12,74,20,None,164,8,62,190,67,109,159,0.188804,670,-0.276,117,134,20,35,0.353535,78376,20,25,50,False
Jordan 3 Retro Black Cement 2018 (GS),100,3.5Y,123,20,None,110,7Y,55,225,70,91,109,0.091833,2140,-0.286,121,100,20,-18,-0.152542,258376,71,67,90,False
Jordan 1 Mid South Beach,105,13,102,20,None,220,7.5,157,280,75,77,139,0.289046,4615,-0.1,155,108,20,-78,-0.419355,713884,80,42,25,False
Air VaporMax 2 Black White,180,11,51,20,None,185,10,66,300,90,198,216,0.045341,1183,0.089,182,207,20,17,0.089474,214931,49,10,32,False
Jordan 11 Retro Low Iridescent,195,10.5,98,20,None,240,8,122,499,120,202,248,0.103715,3598,0.286,183,225,20,-34,-0.131274,656977,38,28,8,False
adidas Yeezy Boost 350 V2 Core Black White,659,10,233,20,None,817,6.5,186,2000,505,643,717,0.053781,1737,2.091,714,680,20,30,0.046154,1239707,97,51,32,False
adidas NMD R1 STLT Navy White Red,69,9,16,19,None,75,12,18,105,50,67,93,0.161965,81,-0.429,70,80,19,0,0,5670,28,66,50,False
Jordan 1 Mid Black Cone,83,11.5,71,19,None,125,7.5,71,190,64,87,127,0.188448,770,-0.027,100,107,19,27,0.3375,77241,17,8,99,False
adidas NMD R1 STLT Triple Black,94,8.5,66,19,None,100,11,40,230,60,112,129,0.072651,2810,-0.291,104,120,19,15,0.136376,291972,36,26,5,False
Vans Sk8-Hi Checkerboard Cap,100,7,81,19,None,115,13,25,200,90,115,135,0.076108,163,0.316,121,125,19,20,0.182837,19737,86,65,5,False
Nike SB Dunk High Bred,107,10,112,19,None,105,8.5,58,216,85,120,144,0.092163,934,0.2,131,132,19,22,0.2,122318,43,94,0,False
Air Max 97 Silver Black,109,4,137,19,None,156,15,49,220,86,127,153,0.091998,437,-0.222,147,140,19,2,0.014493,64103,22,81,12,False
adidas Ultra Boost 1.0 Multi-Color Toe Navy,110,4,108,19,None,125,14,75,325,98,117,129,0.051668,1119,-0.385,144,123,19,-2,-0.016,161628,70,74,86,False
Air Force 1 Low John Elliott White,120,12.5,68,19,None,181,8,49,378,100,146,184,0.115747,594,0.1,151,165,19,-20,-0.108108,89505,23,27,26,False
Jordan Why Not 0.2 Future History,140,10,67,19,None,158,15,69,200,125,148,160,0.042037,60,0.232,154,154,19,14,0.1,9235,30,73,96,False
LeBron 15 Red Diamond Turf,152,9,153,19,None,200,13,61,365,117,208,292,0.16666,1413,0.25,207,250,19,100,0.666307,292724,19,37,98,False
adidas Yung-1 Dragon Ball Z Frieza,164,7.5,185,19,None,190,11,93,500,126,154,176,0.065079,2336,0.1,200,165,19,-10,-0.057143,467363,99,63,15,False
Air Foamposite One Habanero Red,170,10,53,19,None,255,14,93,300,144,172,184,0.035168,513,-0.226,192,178,19,-7,-0.037838,98467,8,76,51,False
Off-White Vulc Low White (Updated Stripes),223,38,78,19,None,270,44,36,364,180,248,292,0.083305,564,0,245,270,19,35,0.148936,138085,70,70,46,False
Air Max 97 LX Swarovski Gold (W),390,7W,231,19,None,459,10.5W,77,700,350,349,439,0.115301,271,-0.015,478,394,19,-19,-0.046005,129448,96,57,6,False
adidas Sobakov Black White Gum,49,11.5,59,18,None,95,14,28,248,50,46,55,0.084065,547,-0.64,95,50,18,-10,-0.173893,51893,75,13,17,False
Vans Sk8-Hi MTE NASA Space Voyager True White,100,6,108,18,None,177,11.5,46,225,90,124,152,0.10171,1550,0.255,143,138,18,-12,-0.08,222129,55,49,74,False
Jordan 1 Mid South Beach (GS),106,7Y,61,18,None,158,4.5Y,105,194,80,71,119,0.250704,1533,0.056,125,95,18,-3,-0.030612,191984,90,6,0,False
adidas Ultra Boost 4.0 Black Multi-Color NYC Bodegas,108,13,59,18,None,130,11,42,175,81,84,106,0.11556,1304,-0.472,116,95,18,-2,-0.020619,150812,89,24,15,False
Jordan 12 Retro Gym Red 2018 (GS),119,3.5Y,65,18,None,148,6.5Y,41,200,80,144,176,0.098436,850,0.143,147,160,18,-24,-0.130435,124990,45,58,93,False
Jordan 11 Retro Low Derek Jeter RE2PECT,186,8.5,327,18,None,236,7.5,117,700,141,142,188,0.141712,4346,-0.175,216,165,18,-40,-0.195122,940454,46,57,72,False
Jordan 5 Retro Wings,254,12,190,18,None,362,7.5,199,500,195,251,289,0.072158,3944,0.35,289,270,18,-5,-0.018182,1139047,43,28,90,False
adidas Alphaedge 4D White,270,8,201,18,None,315,10.5,105,700,201,319,365,0.067481,1120,0.14,345,342,18,36,0.117647,385998,88,86,39,False
Jordan 12 Retro Flu Game (2016),275,8.5,188,18,None,310,14,154,455,150,301,349,0.072558,2073,0.711,274,325,18,46,0.164875,567820,98,18,23,False
Jordan 1 Retro High "Not for Resale" Varsity Maize,879,4.5,125,18,None,1350,8.5,256,1990,481,956,1424,0.19688,1119,6.438,953,1190,18,340,0.4,1066374,79,57,50,False
Nike SB Gato Supreme Black,110,4.5,131,17,None,121,12,73,375,80,91,115,0.117897,1137,-0.064,128,103,17,-17,-0.141667,145061,19,50,93,False
adidas Ultra Boost 4.0 Cloud White Active Red,118,10,63,17,None,125,9.5,32,189,106,100,130,0.127623,241,-0.361,137,115,17,-20,-0.148148,32899,93,16,51,False
adidas Ultra Boost 4.0 White Multi-Color,126,10,196,17,None,165,13,64,210,92,128,142,0.052203,1628,-0.25,127,135,17,-14,-0.09396,206381,90,13,61,False
Nike React Runner Mid WR ISPA White Light Crimson,134,5,137,17,None,117,8.5,30,368,105,108,130,0.090674,155,-0.339,174,119,17,-1,-0.008333,26986,87,78,23,False
adidas Ultra Boost 2.0 Silver Medal (2018),139,7,110,17,None,200,11.5,80,330,130,135,175,0.131377,1215,-0.225,175,155,17,-22,-0.124294,212230,85,4,64,False
Jordan 4 Retro Hot Punch (W),180,5.5W,86,17,None,175,8.5W,39,250,150,182,218,0.08821,26,0.053,186,200,17,1,0.005025,4823,68,74,23,False
Jordan 1 Retro High Shadow 2018 (GS),189,7Y,101,17,None,234,5Y,71,300,80,216,254,0.078965,4898,0.958,153,235,17,53,0.291209,749580,63,42,10,False
Jordan 9 Retro Bred Patent,194,9.5,96,17,None,231,12,112,325,140,168,228,0.150866,4925,0.042,221,198,17,4,0.020619,1088212,73,62,91,False
Air Force 1 Low A Cold Wall Black,217,11.5,182,17,None,245,13,100,550,185,234,256,0.046327,200,0.289,252,245,17,18,0.079295,50499,83,9,38,False
Vans Old Skool NASA Space Voyager Firecracker,70,6.5,119,16,None,117,11.5,33,170,55,49,101,0.351598,991,-0.118,104,75,16,-1,-0.013158,103222,90,67,91,False
adidas NMD R1 Core Black Carbon,108,12,67,16,None,100,5.5,44,185,68,103,117,0.062705,870,-0.154,117,110,16,14,0.145833,102215,78,68,63,False
KD 11 EYBL,135,8.5,57,16,None,220,15,42,400,81,151,221,0.185848,1006,0.24,196,186,16,66,0.55,197059,47,17,100,False
Jordan 6 Retro Wheat,140,11,91,16,None,140,15,85,349,99,131,147,0.054262,1183,-0.268,138,139,16,-3,-0.021127,162864,14,1,2,False
Jordan XXXIII Future of Flight,160,10.5,89,16,None,235,15,49,450,131,177,213,0.092524,1052,0.114,203,195,16,40,0.258065,213511,61,46,32,False
Air Max 95 Carhartt WIP Camo,169,7,91,16,None,207,12.5,118,350,110,156,194,0.107919,652,0.029,185,175,16,65,0.590909,120475,28,71,11,False
Jordan 12 Retro International Flight,185,10,121,16,None,187,9,140,322,100,182,208,0.065333,3512,-0.025,198,195,16,-4,-0.020101,695982,31,0,47,False
Jordan 11 Retro Low University Blue (2017),190,10.5,144,16,None,210,8,102,325,125,173,207,0.088728,1767,0.086,187,190,16,14,0.079545,330777,19,75,73,False
Nike Zoom Fly Triple Black,55,10.5,30,15,None,56,8.5,31,160,43,44,66,0.190981,431,-0.633,77,55,15,1,0.018519,33036,31,64,56,False
Nike PG 2.5 Playstation Wolf Grey (GS),75,4.5Y,70,15,None,95,4Y,23,180,65,96,114,0.085346,440,0.167,98,105,15,15,0.166667,43313,8,51,53,False
Jordan 1 Mid Pink Foam (GS),100,5.5Y,43,15,None,102,3.5Y,23,110,100,101,103,0.012309,15,0.133,102,102,15,-1,-0.009709,1529,42,25,46,False
